entity_id,state,datetime
sensor.buro_temperatur_temperature,19.12,2024-11-30T16:01:06.783Z
sensor.buro_temperatur_temperature,19.19,2024-11-30T16:31:06.684Z
sensor.buro_temperatur_temperature,19.55,2024-11-30T16:46:48.322Z
sensor.buro_temperatur_temperature,19.86,2024-11-30T17:01:06.580Z
sensor.buro_temperatur_temperature,20.18,2024-11-30T17:21:48.277Z
sensor.buro_temperatur_temperature,20.12,2024-11-30T17:31:06.538Z
sensor.buro_temperatur_temperature,20.12,2024-11-30T17:51:10.111Z
sensor.buro_temperatur_temperature,20.4,2024-11-30T18:01:06.418Z
sensor.buro_temperatur_temperature,20.73,2024-11-30T18:31:06.366Z
sensor.buro_temperatur_temperature,21.08,2024-11-30T19:01:06.231Z
sensor.buro_temperatur_temperature,21.33,2024-11-30T19:31:06.091Z
sensor.buro_temperatur_temperature,21.51,2024-11-30T20:01:06.066Z
sensor.buro_temperatur_temperature,21.67,2024-11-30T20:31:05.952Z
sensor.buro_temperatur_temperature,21.81,2024-11-30T21:01:05.895Z
sensor.buro_temperatur_temperature,21.5,2024-11-30T21:21:47.634Z
sensor.buro_temperatur_temperature,21.28,2024-11-30T21:31:05.830Z
sensor.buro_temperatur_temperature,20.91,2024-11-30T21:46:47.642Z
sensor.buro_temperatur_temperature,20.59,2024-11-30T22:01:05.752Z
sensor.buro_temperatur_temperature,20.23,2024-11-30T22:21:47.578Z
sensor.buro_temperatur_temperature,20.15,2024-11-30T22:31:05.808Z
sensor.buro_temperatur_temperature,19.84,2024-11-30T23:01:05.706Z
sensor.buro_temperatur_temperature,19.53,2024-11-30T23:31:05.597Z
sensor.buro_temperatur_temperature,19.33,2024-12-01T00:01:05.564Z
sensor.buro_temperatur_temperature,19.08,2024-12-01T00:31:05.479Z
sensor.buro_temperatur_temperature,19.01,2024-12-01T01:01:05.436Z
sensor.buro_temperatur_temperature,18.82,2024-12-01T01:31:05.286Z
sensor.buro_temperatur_temperature,18.67,2024-12-01T02:01:05.246Z
sensor.buro_temperatur_temperature,18.49,2024-12-01T02:31:05.243Z
